Creature	Name	Item retained	Remove style
sakul	Sakul	rndtre08	Slots
sakul	Sakul	rndtre08	Items
sewerf1	Sewerfolk	rndtre07	Slots
sewerf1	Sewerfolk	rndtre07	Items
sewerf4	Sewerfolk	rndtre08	Slots
sewerf4	Sewerfolk	rndtre08	Items
tam	Tam	none	Slots
tersus	Tersus	rndtre07	Slots
tersus	Tersus	rndtre07	Items
winthr3	Winthrop	none	Slots
zargal	Zargal	rndtre07	Slots
zargal	Zargal	rndtre07	Items
zekar	Zekar	none	Slots
3310com	Commoner	rndtre06	Slots
3310com	Commoner	rndtre06	Items
3316nob1	Wealthy Commoner	rndtre08	Slots
3316nob1	Wealthy Commoner	rndtre08	Items
3316nob2	Snobby Noble Woman	rndtre08	Slots
3316nob2	Snobby Noble Woman	rndtre08	Items
3324nob1	Wealthy Commoner	rndtre08	Slots
3324nob1	Wealthy Commoner	rndtre08	Items
3324nob2	Snobby Noble Woman	none	Slots
3324nob3	Snobby Noble Woman	rndtre08	Slots
3324nob3	Snobby Noble Woman	rndtre08	Items
adadop1b	Doppelganger	none	Slots
aeextort	Hanj	rndtre06	Slots
aeextort	Hanj	rndtre06	Items
aegnoll	Gnoll	none	Slots
aemerhob	Hobgoblin Archer	none	Slots
aesold	Soldier	rndtre06	Slots
aesold	Soldier	rndtre06	Items
agband03	Bandit	rndtre08	Slots
agband03	Bandit	rndtre08	Items
agband04	Bandit	rndtre08	Slots
agband04	Bandit	rndtre08	Items
agband05	Bandit	rndtre08	Slots
agband05	Bandit	rndtre08	Items
agbandle	Bandit Leader	rndtre08	Slots
agbandle	Bandit Leader	rndtre08	Items
agdeano	Deano	rndtre06	Slots
agdeano	Deano	rndtre06	Items
agdeimos	Deimos	rndtre06	Slots
agdeimos	Deimos	rndtre06	Items
aggob03	Goblin Bodyguard	none	Slots
aggob04	Goblin Elite Archer	none	Slots
aggob05	Goblin Chief	rndtre07	Slots
aggob05	Goblin Chief	rndtre07	Items
aggob06	Goblin Shaman	rndtre08	Slots
aggob06	Goblin Shaman	rndtre08	Items
aggob07	Goblin Shaman	rndtre08	Slots
aggob07	Goblin Shaman	rndtre08	Items
aggriev	Griever	none	Slots
agoakbos	Oak Fist Captain	rndtre08	Slots
agoakbos	Oak Fist Captain	rndtre08	Items
agoakdw	Oak Fist Captain	none	Slots
agoakdw2	Oak Fist	none	Slots
agoakdw4	Oak Fist Slinger	rndtre08	Slots
agoakdw4	Oak Fist Slinger	rndtre08	Items
ahighma3	Regean	rndtre08	Slots
ahighma3	Regean	rndtre08	Items
alexm	Alex Macintosh	none	Slots
althur	Al'thur	rndtre07	Slots
althur	Al'thur	rndtre07	Items
amcapt01	Mercenary Captain	rndtre07	Slots
amcapt01	Mercenary Captain	rndtre07	Items
amcust02	Nobleman	rndtre06	Slots
amcust02	Nobleman	rndtre06	Items
amduel01	Mercenary	rndtre06	Slots
amduel01	Mercenary	rndtre06	Items
amduel02	Mercenary	none	Slots
amfem02	Commoner	rndtre06	Slots
amfem02	Commoner	rndtre06	Items
amfem03	Commoner	rndtre06	Slots
amfem03	Commoner	rndtre06	Items
amfem04	Commoner	rndtre07	Slots
amfem04	Commoner	rndtre07	Items
amman02	Commoner	rndtre06	Slots
amman02	Commoner	rndtre06	Items
amman03	Commoner	none	Slots
ammerc07	Mercenary	none	Slots
ammerc08	Mercenary	none	Slots
ammerc09	Mercenary	none	Slots
amsi	Am-Si	rndtre06	Slots
amsi	Am-Si	rndtre06	Items
amsmith	Kerrick the Smith	rndtre08	Slots
amsmith	Kerrick the Smith	rndtre08	Items
ankheg01	Ankheg	rndtre08	Slots
ankheg01	Ankheg	rndtre08	Items
ankhgsum	Ankheg	rndtre08	Slots
ankhgsum	Ankheg	rndtre08	Items
ann11	Ann	rndtre06	Slots
ann11	Ann	rndtre06	Items
anothug	Guard	rndtre06	Slots
anothug	Guard	rndtre06	Items
antenos	Antenos	none	Slots
ar18arch	Archer	rndtre06	Slots
ar18arch	Archer	rndtre06	Items
ar18fig	Mercenary	rndtre06	Slots
ar18fig	Mercenary	rndtre06	Items
aramir	Aramir Estel	rndtre01	Slots
aramir	Aramir Estel	rndtre01	Items
arenaa6	Audience	none	Slots
arenaa7	Audience	none	Slots
arenago1	Goblin	rndtre06	Slots
arenago1	Goblin	rndtre06	Items
arenago2	Goblin	rndtre06	Slots
arenago2	Goblin	rndtre06	Items
arenago3	Goblin	rndtre06	Slots
arenago3	Goblin	rndtre06	Items
arenago4	Goblin	rndtre06	Slots
arenago4	Goblin	rndtre06	Items
arenago7	Goblin	none	Slots
arenago8	Goblin	rndtre06	Slots
arenago8	Goblin	rndtre06	Items
arenago9	Goblin	rndtre06	Slots
arenago9	Goblin	rndtre06	Items
arenaho1	Hobgoblin Warrior	none	Slots
arenaho2	Hobgoblin Warrior	rndtre07	Slots
arenaho2	Hobgoblin Warrior	rndtre07	Items
arenaho3	Hobgoblin Warrior	rndtre07	Slots
arenaho3	Hobgoblin Warrior	rndtre07	Items
arenaho4	Hobgoblin Warrior	rndtre07	Slots
arenaho4	Hobgoblin Warrior	rndtre07	Items
arenam1	Merchant	rndtre07	Slots
arenam1	Merchant	rndtre07	Items
arenam2	Merchant	rndtre07	Slots
arenam2	Merchant	rndtre07	Items
arenam3	Merchant	rndtre07	Slots
arenam3	Merchant	rndtre07	Items
arenam4	Merchant	rndtre07	Slots
arenam4	Merchant	rndtre07	Items
arenam5	Merchant	rndtre07	Slots
arenam5	Merchant	rndtre07	Items
arenaor1	Orc	rndtre07	Slots
arenaor1	Orc	rndtre07	Items
arenaor2	Orc	rndtre07	Slots
arenaor2	Orc	rndtre07	Items
arenaor3	Orc	rndtre07	Slots
arenaor3	Orc	rndtre07	Items
arenaor4	Orc	rndtre07	Slots
arenaor4	Orc	rndtre07	Items
arenar1	Ruffian	none	Slots
arenar2	Ruffian	rndtre06	Slots
arenar2	Ruffian	rndtre06	Items
arengo10	Goblin	rndtre06	Slots
arengo10	Goblin	rndtre06	Items
arengo11	Goblin	rndtre06	Slots
arengo11	Goblin	rndtre06	Items
arengo12	Goblin	rndtre06	Slots
arengo12	Goblin	rndtre06	Items
argrim	Lord Ketlaar Argrim	rndtre01	Slots
argrim	Lord Ketlaar Argrim	rndtre01	Items
arlaxm1	Merchant	none	Slots
arlaxm2	Merchant	rndtre07	Slots
arlaxm2	Merchant	rndtre07	Items
arlaxm3	Merchant	rndtre07	Slots
arlaxm3	Merchant	rndtre07	Items
arlaxm4	Merchant	none	Slots
arlaxm5	Merchant	rndtre07	Slots
arlaxm5	Merchant	rndtre07	Items
arlaxm6	Merchant	rndtre07	Slots
arlaxm6	Merchant	rndtre07	Items
arlaxn1	Isac	none	Slots
arlaxn2	Mera	rndtre07	Slots
arlaxn2	Mera	rndtre07	Items
arlaxn3	Noble	none	Slots
arlaxn4	Noble	none	Slots
arlaxn5	Noble Woman	none	Slots
arlaxn6	Noble Woman	rndtre07	Slots
arlaxn6	Noble Woman	rndtre07	Items
arlaxt2	Thief	none	Slots
arlaxt5	Thief	none	Slots
arlaxt6	Thief	none	Slots
army01	Orc	none	Slots
arnfgt01	Shadow Thief	rndtre06	Slots
arnfgt01	Shadow Thief	rndtre06	Items
arnwar07	Dedral	rndtre08	Slots
arnwar07	Dedral	rndtre08	Items
arnwar09	Shadow Thief	rndtre08	Slots
arnwar09	Shadow Thief	rndtre08	Items
b#tamoko	Tamoko	rndtre07	Slots
b#tamoko	Tamoko	rndtre07	Items
b#tazok	Tazok	rndtre07	Slots
b#tazok	Tazok	rndtre07	Items
baronp	Baron Ployer	rndtre07	Slots
baronp	Baron Ployer	rndtre07	Items
barsail1	Sailor	rndtre06	Slots
barsail1	Sailor	rndtre06	Items
barsail2	Sailor	rndtre06	Slots
barsail2	Sailor	rndtre06	Items
basgrt01	Greater Basilisk	rndtre08	Slots
basgrt01	Greater Basilisk	rndtre08	Items
basill	Basilisk	rndtre08	Slots
basill	Basilisk	rndtre08	Items
basles01	Lesser Basilisk	rndtre08	Slots
basles01	Lesser Basilisk	rndtre08	Items
bdact05	Zaren	rndtre06	Slots
bdact05	Zaren	rndtre06	Items
bdact07	Balmitance	rndtre06	Slots
bdact07	Balmitance	rndtre06	Items
bdact08	Karenina	rndtre06	Slots
bdact08	Karenina	rndtre06	Items
bdact09	Karenina	rndtre06	Slots
bdact09	Karenina	rndtre06	Items
bdbart01	Samuel Thunderburp	rndtre06	Slots
bdbart01	Samuel Thunderburp	rndtre06	Items
bdcoun02	Courtier	rndtre06	Slots
bdcoun02	Courtier	rndtre06	Items
bdcoun03	Bodyguard	rndtre06	Slots
bdcoun03	Bodyguard	rndtre06	Items
bdhigg01	Higgold	rndtre06	Slots
bdhigg01	Higgold	rndtre06	Items
bdturm01	Turmish Leader	none	Slots
bdturm02	Turmish Thief	rndtre06	Slots
bdturm02	Turmish Thief	rndtre06	Items
bdturm04	Turmish Thug	rndtre06	Slots
bdturm04	Turmish Thug	rndtre06	Items
beast	Beastmaster	rndtre08	Slots
beast	Beastmaster	rndtre08	Items
beatrice	Duchess Duvaine	none	Slots
behdir01	Director	none	Slots
beheld01	Elder Orb	rndtre08	Slots
beheld01	Elder Orb	rndtre08	Items
behgas01	Gas Spore	rndtre08	Slots
behgas01	Gas Spore	rndtre08	Items
behgau01	Gauth	none	Slots
behhiv01	Hive Mother	rndtre08	Slots
behhiv01	Hive Mother	rndtre08	Items
behobs01	Beholder	none	Slots
behold01	Beholder	rndtre08	Slots
behold01	Beholder	rndtre08	Items
behspe01	Beholder	rndtre08	Slots
behspe01	Beholder	rndtre08	Items
behund01	Death Tyrant	rndtre08	Slots
behund01	Death Tyrant	rndtre08	Items
bernard	Bernard	rndtre07	Slots
bernard	Bernard	rndtre07	Items
bertrand	Bertrand the 'Companion'	rndtre07	Slots
bertrand	Bertrand the 'Companion'	rndtre07	Items
bggreet	Rivaldo	rndtre06	Slots
bggreet	Rivaldo	rndtre06	Items
bgigibb	Gibberling	rndtre06	Items
bginfo1	Nobleman	rndtre06	Slots
bginfo1	Nobleman	rndtre06	Items
bginfo2	Noblewoman	rndtre06	Slots
bginfo2	Noblewoman	rndtre06	Items
bgsell1	Black Market Thief	rndtre08	Slots
bgsell1	Black Market Thief	rndtre08	Items
bgsell2	Black Market Thief	rndtre08	Slots
bgsell2	Black Market Thief	rndtre08	Items
bgtav1a	Doorman	rndtre08	Slots
bgtav1a	Doorman	rndtre08	Items
bgtav1b	Reception Lady	rndtre08	Slots
bgtav1b	Reception Lady	rndtre08	Items
bgtavst1	Noble Guest	none	Slots
bgtavst2	Lady Guest	rndtre08	Slots
bgtavst2	Lady Guest	rndtre08	Items
bgtavst3	Noble Guest	rndtre08	Slots
bgtavst3	Noble Guest	rndtre08	Items
bgtavst4	Lady Guest	rndtre08	Slots
bgtavst4	Lady Guest	rndtre08	Items
bhcapt01	Elite Guard Captain	rndtre07	Slots
bhcapt01	Elite Guard Captain	rndtre07	Items
bheye	Unseeing Eye	rndtre08	Slots
bheye	Unseeing Eye	rndtre08	Items
bhgaal01	Elite Guard	rndtre07	Slots
bhgaal01	Elite Guard	rndtre07	Items
bhghoul1	Ghoul	rndtre08	Slots
bhghoul1	Ghoul	rndtre08	Items
bhguard	Elite Guard	rndtre06	Slots
bhguard	Elite Guard	rndtre06	Items
bhguard2	Elite Guard	rndtre07	Slots
bhguard2	Elite Guard	rndtre07	Items
bhlizgrd	Lizardman	rndtre07	Slots
bhlizgrd	Lizardman	rndtre07	Items
bhlizkng	Lizardman King	none	Slots
bhlizsha	Lizardman Shaman	rndtre07	Slots
bhlizsha	Lizardman Shaman	rndtre07	Items
bhogre	Ogre	rndtre08	Slots
bhogre	Ogre	rndtre08	Items
bhoguard	Orc Guard	none	Slots
bhorc01	Orc	none	Slots
bhorc01d	Orc	none	Slots
bhsharg2	Mercenary	rndtre08	Slots
bhsharg2	Mercenary	rndtre08	Items
bhtwen01	Tavern Wench	rndtre06	Slots
bhtwen01	Tavern Wench	rndtre06	Items
biff	Biff The Understudy	rndtre06	Slots
biff	Biff The Understudy	rndtre06	Items
binnkeep	Calbor	rndtre07	Slots
binnkeep	Calbor	rndtre07	Items
bmerch1	Qadeel	rndtre06	Slots
bmerch1	Qadeel	rndtre06	Items
bnoble1	Lord Feveran	rndtre08	Slots
bnoble1	Lord Feveran	rndtre08	Items
bnoble2	Lady Diana	none	Slots
bogre1	Ogre	rndtre06	Slots
bogre1	Ogre	rndtre06	Items
bpdrpr18	Drow Priestess	none	Slots
bpkuoarc	Kuo-Toan Archer	rndtre06	Slots
bpkuoarc	Kuo-Toan Archer	rndtre06	Items
bplizgrd	Lizard Man	rndtre07	Slots
bplizgrd	Lizard Man	rndtre07	Items
bplizkng	Lizard King	rndtre07	Slots
bplizkng	Lizard King	rndtre07	Items
bplizman	Lizard Man	none	Slots
bplizsha	Lizard Shaman	rndtre07	Slots
bplizsha	Lizard Shaman	rndtre07	Items
bprost1	Courtesan	rndtre06	Slots
bprost1	Courtesan	rndtre06	Items
bprost2	Courtesan	rndtre06	Slots
bprost2	Courtesan	rndtre06	Items
bpsdwfgt	Shadow Thief	none	Slots
bpsdwfth	Shadow Thief	rndtre06	Slots
bpsdwfth	Shadow Thief	rndtre06	Items
bpsfight	Shadow Thief	rndtre06	Slots
bpsfight	Shadow Thief	rndtre06	Items
bpskelar	Skeleton Archer	none	Slots
bpskully	Skullen Crossbones	rndtre08	Slots
bpskully	Skullen Crossbones	rndtre08	Items
bpsthef2	Shadow Thief	rndtre06	Slots
bpsthef2	Shadow Thief	rndtre06	Items
bpsthef3	Shadow Thief	none	Slots
braiwa1	Blind Priest	rndtre08	Slots
braiwa1	Blind Priest	rndtre08	Items
braiwa4	Blind Priest	rndtre07	Slots
braiwa4	Blind Priest	rndtre07	Items
brebar1	Bartender	rndtre07	Slots
brebar1	Bartender	rndtre07	Items
brefi7	Traveler	rndtre06	Slots
brefi7	Traveler	rndtre06	Items
brefi8	Deli Riversmouth	rndtre06	Slots
brefi8	Deli Riversmouth	rndtre06	Items
brefr1	Frost Giant	rndtre07	Slots
brefr1	Frost Giant	rndtre07	Items
brefr2	Frost Giant	rndtre07	Slots
brefr2	Frost Giant	rndtre07	Items
breg03	D'aerthe Guard	rndtre07	Slots
breg03	D'aerthe Guard	rndtre07	Items
bregg	Bregg	rndtre06	Slots
bregg	Bregg	rndtre06	Items
brelm	Brelm	none	Slots
bryne	Bryne	none	Slots
bsailor1	Sailor	rndtre06	Slots
bsailor1	Sailor	rndtre06	Items
bsailor2	Sailor	rndtre06	Slots
bsailor2	Sailor	rndtre06	Items
bshop01	Cutpurse	rndtre06	Slots
bshop01	Cutpurse	rndtre06	Items
bshop02	Sio'chaire	none	Slots
bunkin	Bunkin	rndtre07	Slots
bunkin	Bunkin	rndtre07	Items
bwench	Elanda	rndtre06	Slots
bwench	Elanda	rndtre06	Items
bystand1	Ler	rndtre06	Slots
bystand1	Ler	rndtre06	Items
bystand2	Lady Beth	rndtre06	Slots
bystand2	Lady Beth	rndtre06	Items
c6bran	Branet Al-Thon	none	Slots
c6drow1	Drow	none	Slots
c6eric	Eric Vanstraaten	none	Slots
c6eric3	Eric Vanstraaten	rndtre07	Slots
c6eric3	Eric Vanstraaten	rndtre07	Items
c6harp	Malchor Harpell	rndtre08	Slots
c6harp	Malchor Harpell	rndtre08	Items
c6kalden	Kalden	rndtre06	Slots
c6kalden	Kalden	rndtre06	Items
c6keria	Keria	none	Slots
c6levin	Levin Rayn	rndtre07	Slots
c6levin	Levin Rayn	rndtre07	Items
c6nerit	Nerit	rndtre07	Slots
c6nerit	Nerit	rndtre07	Items
c6squire	Squire Cathras	none	Slots
c6will	William Reirrac	rndtre07	Slots
c6will	William Reirrac	rndtre07	Items
caern	Caern	rndtre07	Slots
caern	Caern	rndtre07	Items
caldar	Cal'Dar	none	Slots
calimart	Giblan	rndtre07	Slots
calimart	Giblan	rndtre07	Items
calistel	Store Guard	none	Slots
calshop1	Trader	none	Slots
calshop2	Trader	none	Slots
caltorn	Cal'Torn	rndtre08	Slots
caltorn	Cal'Torn	rndtre08	Items
cb220bn1	Bandit Orc	rndtre08	Slots
cb220bn1	Bandit Orc	rndtre08	Items
cb220bn2	Bandit Orc	rndtre08	Slots
cb220bn2	Bandit Orc	rndtre08	Items
cb230bla	Squad Leader	none	Slots
cb230blb	Squad Leader	rndtre08	Slots
cb230blb	Squad Leader	rndtre08	Items
cb230blc	Squad Leader	rndtre08	Slots
cb230blc	Squad Leader	rndtre08	Items
cb230bld	Squad Leader	rndtre08	Slots
cb230bld	Squad Leader	rndtre08	Items
cb232ld1	Squad Leader	rndtre08	Slots
cb232ld1	Squad Leader	rndtre08	Items
cb232ld2	Squad Leader	rndtre08	Slots
cb232ld2	Squad Leader	rndtre08	Items
cb257hlf	Halfling Thief	rndtre06	Slots
cb257hlf	Halfling Thief	rndtre06	Items
cb270ccb	Soubar Villager	rndtre07	Slots
cb270ccb	Soubar Villager	rndtre07	Items
cb270ccf	Soubar Villager	rndtre06	Slots
cb270ccf	Soubar Villager	rndtre06	Items
cb270ccg	Soubar Villager	rndtre06	Slots
cb270ccg	Soubar Villager	rndtre06	Items
cb285ft1	Fighter	rndtre06	Slots
cb285ft1	Fighter	rndtre06	Items
cb285ft4	Fighter	rndtre06	Slots
cb285ft4	Fighter	rndtre06	Items
cb300co1	Catapult Operator (First Squad)	rndtre08	Slots
cb300co1	Catapult Operator (First Squad)	rndtre08	Items
cb300co2	Catapult Operator (Second Squad)	none	Slots
cb304tra	Triel Villager	rndtre06	Slots
cb304tra	Triel Villager	rndtre06	Items
cb304trb	Triel Villager	rndtre06	Slots
cb304trb	Triel Villager	rndtre06	Items
cb307sl1	Squad Leader	none	Slots
cb307sl2	Squad Leader	rndtre08	Slots
cb307sl2	Squad Leader	rndtre08	Items
cb35assn	Assassin	rndtre08	Slots
cb35assn	Assassin	rndtre08	Items
cb4300ar	Bandit Archer	rndtre01	Slots
cb4300ar	Bandit Archer	rndtre01	Items
cb4300ct	Gatekeeper	rndtre08	Slots
cb4300ct	Gatekeeper	rndtre08	Items
cb4300or	Bandit Orc	none	Slots
cb4304or	Bandit Orc	rndtre08	Slots
cb4304or	Bandit Orc	rndtre08	Items
cb4310sw	Bandit Orc	rndtre07	Slots
cb4310sw	Bandit Orc	rndtre07	Items
cb4311ar	Bandit Orc	rndtre01	Slots
cb4311ar	Bandit Orc	rndtre01	Items
cb585rng	Crowley	rndtre08	Slots
cb585rng	Crowley	rndtre08	Items
cb640ft4	Fighter	rndtre06	Slots
cb640ft4	Fighter	rndtre06	Items
cbbdaw02	<Invalid Strref -1>	rndtre06	Slots
cbbdaw02	<Invalid Strref -1>	rndtre06	Items
cbbdfhjd	<Invalid Strref -1>	rndtre06	Slots
cbbdfhjd	<Invalid Strref -1>	rndtre06	Items
cbbdfhje	<Invalid Strref -1>	none	Slots
cbbgber1	Bugbear	rndtre06	Slots
cbbgber1	Bugbear	rndtre06	Items
cbbgber2	Bugbear	rndtre08	Slots
cbbgber2	Bugbear	rndtre08	Items
cbbgbera	Bugbear	rndtre06	Slots
cbbgbera	Bugbear	rndtre06	Items
cbbgberb	Bugbear	rndtre06	Slots
cbbgberb	Bugbear	rndtre06	Items
cbbgberc	Bugbear	none	Slots
cbbgberd	Bugbear	none	Slots
cbbgberw	Bugbear	none	Slots
cbbgberx	Bugbear	rndtre06	Slots
cbbgberx	Bugbear	rndtre06	Items
cbbgbery	Bugbear	rndtre06	Slots
cbbgbery	Bugbear	rndtre06	Items
cbbgberz	Bugbear	rndtre06	Slots
cbbgberz	Bugbear	rndtre06	Items
cbbyrn03	Byron	rndtre01	Slots
cbbyrn03	Byron	rndtre01	Items
cbbyrn66	Byron	rndtre01	Slots
cbbyrn66	Byron	rndtre01	Items
cbc8ctc3	Cult Superior	none	Slots
cbc8ctf1	Cult Fighter	rndtre06	Slots
cbc8ctf1	Cult Fighter	rndtre06	Items
cbc8ctf3	Cult Fighter	rndtre01	Slots
cbc8ctf3	Cult Fighter	rndtre01	Items
cbc8ctm1	Cult Mage	rndtre07	Slots
cbc8ctm1	Cult Mage	rndtre07	Items
cbc8ctm2	Cult Mage	none	Slots
cbc8ctm3	Cult Mage	rndtre08	Slots
cbc8ctm3	Cult Mage	rndtre08	Items
cbc8ctu3	Undead Cultist	rndtre06	Slots
cbc8ctu3	Undead Cultist	rndtre06	Items
