CRE	Name	OrigGold	NewGold
b!bertra	Bertram	75	54
b!gavin	Gavin	6	3
b!gustav	Gustav	15	9
b!laran	Laran	20	15
b!penny	Penny	15	9
b!reed	Reed	400	300
b!thug1	Plato	10	6
b!thug2	Crusher	10	6
b!thug3	Spike	10	6
b!wally	Wallace	46	33
b!wally2	Wallace	46	33
b#ist	Lolth's Vengance	1093	819
baisera	Baisera	4	3
balelit1	Adherent	20	15
balelit2	Adherent	20	15
balelit3	Adherent	20	15
balelit4	Adherent	20	15
balelite	Monk	20	15
balth	Balthazar	204	153
bamng01	Amnish Guard	10	6
bamng02	Amnish Guard	10	6
banco	Banco	1700	1275
barkeep	Grisella	21	15
baronp	Baron Ployer	20	15
bart8	Bartender	33	24
bart9	Bartender	9	6
bartlemy	Bartlemy	100	75
batmage2	Battle Mage	45	33
bdbart01	Samuel Thunderburp	20	15
bdturm03	Turmish Sorceress	25	18
beast	Beastmaster	87	63
becky	Becky	5	3
beeloo	Beeloo Jansen	43	30
beltbrd	Belt	87	63
berinvar	Berinvar	123	90
berkref	Zorl	741	555
bernard	Bernard	45	33
bertrand	Bertrand the 'Companion'	5	3
bftown1	Commoner	4	3
bftown2	Commoner	4	3
bftown3	Commoner	4	3
bggreet	Rivaldo	14	9
bginfo1	Nobleman	14	9
bginfo2	Noblewoman	13	9
bgrape01	Prison Guard	1287	963
bgrape02	Prison Guard	1287	963
bgsell1	Black Market Thief	39	27
bgsell2	Black Market Thief	39	27
bgtav1a	Doorman	50	36
bgtav1b	Reception Lady	50	36
bgtavst1	Noble Guest	50	36
bgtavst2	Lady Guest	50	36
bgtavst3	Noble Guest	50	36
bgtavst4	Lady Guest	50	36
bhabrac	Abracus	18	12
bhalf1	Stivan the Hunter	4	3
bhalton	Alton	23	15
bharmax	Armax	100	75
bharrnes	Mayor Arrness	100	75
bhascue	Ascue	55	39
bhbandt1	Bandit	20	15
bhbandt2	Bandit	20	15
bhbandt3	Bandit	20	15
bhbasmar	Basmar	100	75
bhbeshka	Beshkar	30	21
bhcleri1	Acolyte of Osprem	5	3
bhcleri2	Acolyte	5	3
bhcleric	Acolyte of Phaulkon	5	3
bhelal	Bhelal	898	672
bheless	Eless	17	12
bhfabi6	Fabio	20	15
bhfair	Fairwind	15	9
bhfalco	Falco	4	3
bhfelwin	Felwin	5	3
bhfgiant	Fire Giant	100	75
bhfliban	Fliban	37	27
bhgap	Gap	4	3
bhgelliu	Gellius	25	18
bhgelmar	Gelmark	43	30
bhgelpas	Gelpas	15	9
bhgilmi	Gilmi	104	78
bhglami	Glami	50	36
bhgorhrg	Gorharg	20	15
bhgrecko	Grecko	17	12
bhgrelus	Baron Grellus	25	18
bhgrist	Gristla	21	15
bhguard	Elite Guard	30	21
bhguarde	Guard Enforcer	43	30
bhguardg	Guard	43	30
bhguild1	Assassin Apprentice	25	18
bhhaki	Haki	10	6
bhharmin	Harmin	48	36
bhhestal	Hestal	21	15
bhhoirag	Hoirag	21	15
bhholga	Holga	60	45
bhkrak	Krak	25	18
bhkrelus	Krellus	55	39
bhlizkng	Lizardman King	25	18
bhlothar	Lothar	200	150
bhlydia	Lydia	4	3
bhmarvin	Marvin	4	3
bhoguard	Orc Guard	5	3
bhohlatt	Ohlatta	100	75
bholieut	Orc Lieutenant	24	18
bhorc01	Orc	5	3
bhorc01d	Orc	5	3
bhoscar	Oscar	25	18
bhpell	Pelltar	5	3
bhperk	Perk	45	33
bhphilma	Philmar	25	18
bhphylli	Phyllis	6	3
bhpriska	Priska	20	15
bhqual	Qualton	100	75
bhquenex	Quenex	100	75
bhravela	Ravella	43	30
bhrelba	Relba	25	18
bhrgslep	Guard	43	30
bhrguard	Guard	43	30
bhrogan	Rogan	24	18
bhsangst	Sangster	200	150
bhselmo	Selmo	17	12
bhsharg1	Mercenary	15	9
bhsharg2	Mercenary	20	15
bhsharg3	Mercenary	55	39
bhshargr	Shargrailar	200	150
bhsmyth	Smyth	10	6
bhst0102	Pheldman	24	18
bhtelli1	Unknown Attacker	10	6
bhtellis	Tellish	10	6
bhtelv	Telvar	25	18
bhthief	Rogue	39	27
bhthief1	Rogue	10	6
bhtwen01	Tavern Wench	10	6
bhwelcar	Welcar	10	6
bhwilbur	Wilbur	4	3
bhwilfon	Wilfong	10	6
bhwillis	Willis	50	36
bhyalta	Yalta	48	36
bhzahr	Zahrdahl	50	36
binnkeep	Calbor	15	9
bishop	Bishop	125	93
bishop1	Bishop	125	93
bjorn	Bjorn	6	3
bmerch1	Qadeel	200	150
bmthief	Marina	39	27
bmtown1	Peasant	11	6
bmtown2	Peasant	11	6
bmtown3	Peasant	11	6
bmtown4	Stanet	7	3
bmugg1	Mugger	6	3
bnoble1	Lord Feveran	44	33
bnoble2	Lady Diana	30	21
bodtan	Tanova	25	18
bolivr09	Bolivar	40	30
bolivr15	Bolivar	68	51
bolivr20	Bolivar	186	138
borinall	Borinall	38	27
bounha02	Bounty Hunter	67	48
bounha03	Bounty Hunter	67	48
bpdrfm10	Drow Leader	70	51
bpdrgbrn	Dragon	19000	14250
bpdric01	Drider Cleric	50	36
bpdrifm1	Drider Wizard	70	51
bpdru10a	Shadow Druid	43	30
bpdru8a	Shadow Druid	24	18
bpdru8b	Shadow Druid	21	15
bpdru8ba	Shadow Druid	21	15
bpdrudt1	Cleric / Thief	92	69
bpdrufg1	Fighter / Druid	92	69
bpdrufg2	Fighter	78	57
bpdrumg1	Mage	37	27
bpjaheir	Jaheira	6	3
bpkhalid	Khalid	11	6
bprost1	Courtesan	5	3
bprost2	Courtesan	5	3
bpsdwfgt	Shadow Thief	76	57
bpsdwfth	Shadow Thief	76	57
bpsfgtmg	Shadow Thief	76	57
bpsfight	Shadow Thief	76	57
bpsthef1	Shadow Thief	36	27
bpsthef2	Shadow Thief	76	57
bpsthef3	Shadow Thief	88	66
bpsthmg1	Shadow Thief	101	75
bpthief2	Shadow Thief	32	24
bpthief3	Shadow Thief	41	30
bpthmag2	Shadow Thief	101	75
bpvammag	Vampire	25	18
breadv1	Adventurer	15	9
breadv2	Adventurer	13	9
breadv3	Adventurer	28	21
brefi8	Deli Riversmouth	6	3
breg01	Visaj	20	15
bregg	Bregg	50	36
bryne	Bryne	8	6
bsailor1	Sailor	7	3
bsailor2	Sailor	7	3
bshop01	Cutpurse	23	15
bshop02	Sio'chaire	12	9
btelite	Black Talon Elite	20	15
bugabo02	<Invalid Strref -1>	100	75
bugabo03	<Invalid Strref -1>	100	75
bw02cre3	Julius	345	258
bw02cre5	Emanuel	345	258
bw05ba05	Grey Clan Bandit	100	75
bw05ba06	Grey Clan Bandit	55	39
bw05bbgd	Bodyguard	190	141
bw05bl01	Bandit Leader	480	360
bw05bl02	Bandit Leader	3445	2583
bw05bl03	Bandit Leader	500	375
bw05bloj	"Bloody" Jim	400	300
bw05bori	Boris	949	711
bw05brma	Black-Robed Man	200	150
bw05char	Charles	87	63
bw05dami	Damien	4880	3660
bw05dw01	Fundor Balorslayer	2100	1575
bw05dw02	Frar Balorslayer	690	516
bw05dw03	Dwarven Warrior	38	27
bw05dw04	Dwarven Warrior	41	30
bw05dw05	Dwarven Warrior	22	15
bw05erne	Ernest	189	141
bw05eros	Eros	200	150
bw05feli	Felicia	8	6
bw05ffa1	Flaming Fist Elite	150	111
bw05ffa2	Flaming Fist Elite	150	111
bw05ffa3	Flaming Fist Elite	150	111
bw05ffa4	Flaming Fist Elite	150	111
bw05ffan	Flaming Fist Elite	150	111
bw05fgca	Captain Ignas	88	66
bw05fist	Commander "Greyfist"	1100	825
bw05gra0	Tattooed Man	500	375
bw05grac	Grachus	500	375
bw05hert	Hertuk	320	240
bw05jer2	Jeremias	850	636
bw05jere	Jeremias	850	636
bw05john	John	440	330
bw05jusm	Jusam	1685	1263
bw05lind	High Sorceress Linda	300	225
bw05moni	Monica	300	225
bw05octa	High Sorceress Octavia	300	225
bw05ogma	Ogre Mage	490	366
bw05petr	High Sorceress Petrarca	300	225
bw05pump	Pumpkin	150	111
bw05reuf	Reufasio	159	117
bw05robe	Robert	500	375
bw05sert	Dervanto	159	117
bw05tali	Talibehius	320	240
bw05terg	Tergius	857	642
bw05teve	Teven	1250	936
bw05thie	Thief	200	150
bw05vlai	Vladimir	210	156
bw05will	William	486	363
bwench	Elanda	4	3
bystand2	Lady Beth	15	9
c#q01004	Tulbor	39	27
c#q03012	Amnish Soldier	10	6
c#q03013	Amnish Soldier	10	6
c#q03014	Amnish Soldier	10	6
c#q04005	Amnish Soldier	10	6
c#q04006	Amnish Soldier	10	6
c#q05003	Onlooker	13	9
c#q07001	Uguth	5	3
c6cler3	Cleric Of Talos	13	9
c6coran	Coran	27	18
c6harp	Malchor Harpell	2537	1902
c6keria	Keria	25	18
c6kngt1	Morning Knight	25	18
c6kngt2	Shield Knight	25	18
c6lanf	Lanfear	30	21
c6tanov	Tanova	25	18
caddem18	Carethron	668	501
caddem19	Bane Lord	545	408
cadril	Sir Cadril	67	48
caern	Caern	6	3
calaha	Calahan	121	90
calimart	Giblan	12	9
calistel	Store Guard	12	9
calliana	Sister Calliana	23	15
calshop1	Trader	45	33
calshop2	Trader	45	33
cambion1	Cambion	146	108
cambion2	Cambion	146	108
camitis	Camitis	5	3
carhead	Merchant	988	741
carserv1	Mercenary Captain	22	15
carserv2	Mercenary	8	6
carserv3	Mercenary	8	6
carserv4	Mercenary	8	6
carserv5	Mercenary	8	6
castre1	Perrim Haybath	23	15
cb257hlf	Halfling Thief	7	3
cb270ccb	Soubar Villager	15	9
cb270ccd	Soubar Villager	4	3
cb270cce	Soubar Villager	11	6
cb270ccf	Soubar Villager	15	9
cb270ccg	Soubar Villager	7	3
cb270pt1	Soubar Villager	4	3
cb304svc	Soubar Villager	4	3
cb325eqk	<Invalid Strref -1>	94	69
cb330cr1	River Chionthar	5	3
cb330cr2	River Chionthar	5	3
cb330cr3	River Chionthar	5	3
cb330cr4	River Chionthar	5	3
cb330cr5	River Chionthar	5	3
cb330cr6	River Chionthar	5	3
cb3513im	Imoen	32	24
cb3513jh	Jaheira	38	27
cb3513mn	Minsc	4	3
cb35assn	Assassin	54	39
cb3647hb	Herbalist	86	63
cb3650dw	Thron Sturman	86	63
cb4270sm	Scullery Maid	10	6
cb4280st	Erdane	122	90
cb4308nr	Narulf	27	18
cb510brd	Butler Eites	55	39
cb596se2	Lord Ketlaar Argrim	25	18
cb596se7	Commoner	4	3
cb596se8	Peasant	11	6
cb596se9	Peasant	11	6
cb597rir	Ranch Hand	87	63
