Creature	OldAnim	OldAnimText	NewAnim	NewAnimText
bftown3	20755	FIGHTER_FEMALE_HALFLING_LOW	24851	FIGHTER_FEMALE_HALFLING
bgbishop	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
bghq1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bghq2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bghq3	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bgneb	21250	THIEF_MALE_DWARF_LOW	25346	THIEF_MALE_DWARF
bgsh01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bgsh02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bgsh04	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bgsh05	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bgsh07	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bharthur	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
bharval	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
bhglami	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
bhguild1	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
bhmarvin	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
bhphilma	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bhwilbur	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
bishop	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
bishop1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
bodfgt03	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
bruenor	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
bw05mold	20497	CLERIC_FEMALE_ELF_LOW	24593	CLERIC_FEMALE_ELF
c6bruen	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
c6bruen2	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
c6regis	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
c6regis2	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
catti	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
cbavrvla	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbavrvlb	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbavrvlc	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cbavrvld	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
cbavrvle	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
cbavrvlg	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbavrvlh	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbavrvli	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cbavrvlj	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
cbavrvlk	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
cbdrt70a	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbfixlgn	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbfixpre	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbpastrw	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cbsaerkw	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cbtaxtwc	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
cbtbggal	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cbtbggl1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cechal02	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cechalle	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cedruid1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
ceigarol	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
celogan	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
cernd10	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cernd12	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cernd13	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cernd13b	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cernd14	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
chaldt01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
chalin01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
chalpc04	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
chalpc05	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
chalpc06	20754	FIGHTER_FEMALE_DWARF_LOW	24850	FIGHTER_FEMALE_DWARF
chalpc07	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
chalpc08	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
chalpc10	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
chalpc11	20737	FIGHTER_MALE_ELF_LOW	24833	FIGHTER_MALE_ELF
chalpc12	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
chalpc13	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
chalpc14	20754	FIGHTER_FEMALE_DWARF_LOW	24850	FIGHTER_FEMALE_DWARF
chalpc15	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
chalpc16	20755	FIGHTER_FEMALE_HALFLING_LOW	24851	FIGHTER_FEMALE_HALFLING
chgood02	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
chgood03	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
chgood05	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
chgood06	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
chgood07	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
chsam01	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
chsam02	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
chtaz02	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
cldad	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
cor	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
d0magcle	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
danno	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
dario	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
ddtempl1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
deadb01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
deadb02	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
deadb03	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
deadb04	20737	FIGHTER_MALE_ELF_LOW	24833	FIGHTER_MALE_ELF
deadb05	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
deadb06	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
dellow	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
dmask1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
dockhlp3	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
draug	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
dreampc	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
dsbody01	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
dsduegm1	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
dsduegma	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
dsduegsk	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
dsduerg1	21250	THIEF_MALE_DWARF_LOW	25346	THIEF_MALE_DWARF
dsduerg2	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
dsduerga	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duearc01	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duearc02	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duearc03	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duearc04	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegexit	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegmin1	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegmin2	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
duegmin3	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegrune	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegsal1	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegsal2	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegsal3	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
duegske1	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
duemag01	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
duemag02	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
duergar2	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
dumaia	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
durlagt	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
eastwar1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
elders	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
ffactor2	21009	MAGE_FEMALE_ELF_LOW	25105	MAGE_FEMALE_ELF
finilla	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
gandar	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
gandar02	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
garan	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
genmag01	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
gordeck1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
gorgua02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
gorgua03	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
gorgua04	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
gorgua05	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
gromg05	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
gromg09	21249	THIEF_MALE_ELF_LOW	25345	THIEF_MALE_ELF
gromg10	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
haegan	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
halfmiri	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
heartg1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
heartg4	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
heartg5	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
helmpr	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
hgnya01	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
hprelate	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
illasera	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
ily4	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
ilyparty	21010	MAGE_FEMALE_DWARF_LOW	25106	MAGE_FEMALE_DWARF
isla	21010	MAGE_FEMALE_DWARF_LOW	25106	MAGE_FEMALE_DWARF
jade4	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
jahei4	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
jarev4	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
jolus	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
kaish2	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
kaisha	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
le#vtash	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
loutcapt	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
loutm01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
loutm02	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
lrrielev	20993	MAGE_MALE_ELF_LOW	25089	MAGE_MALE_ELF
m#corin	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
m#vamber	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
magcle20	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
mage18z	21009	MAGE_FEMALE_ELF_LOW	25105	MAGE_FEMALE_ELF
mkontakt	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohu1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohu2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohu3	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohu4	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohu5	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
mwbohul	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
nadine	21267	THIEF_FEMALE_HALFLING_LOW	25363	THIEF_FEMALE_HALFLING
ntbalen	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
ntghelde	21250	THIEF_MALE_DWARF_LOW	25346	THIEF_MALE_DWARF
ntkoldar	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
ntmariel	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
ntorpeho	21250	THIEF_MALE_DWARF_LOW	25346	THIEF_MALE_DWARF
o!invis	20737	FIGHTER_MALE_ELF_LOW	24833	FIGHTER_MALE_ELF
o!tal	20993	MAGE_MALE_ELF_LOW	25089	MAGE_MALE_ELF
obshal05	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
obshal06	21267	THIEF_FEMALE_HALFLING_LOW	25363	THIEF_FEMALE_HALFLING
obshal07	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
p#seas1	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
p#seasn	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
palern	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
pgcrowdf	20755	FIGHTER_FEMALE_HALFLING_LOW	24851	FIGHTER_FEMALE_HALFLING
pgkchor1	20499	CLERIC_FEMALE_HALFLING_LOW	24595	CLERIC_FEMALE_HALFLING
pgkchor2	20499	CLERIC_FEMALE_HALFLING_LOW	24595	CLERIC_FEMALE_HALFLING
pgtewes	21009	MAGE_FEMALE_ELF_LOW	25105	MAGE_FEMALE_ELF
prelate	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
prengoon	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
prophet1	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
prophet2	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
prophet3	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
prophet4	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
psadv01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
psadv02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
psadv06	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
psapp08	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
psdmad01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pshelm02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pshelm03	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
pskord01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pskord04	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pskord05	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pssprst	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
pstalos2	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
pstalos3	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
pstalos4	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pstalos5	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
pwauk1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
r#drus01	21009	MAGE_FEMALE_ELF_LOW	25105	MAGE_FEMALE_ELF
redw1	20994	MAGE_MALE_DWARF_LOW	25090	MAGE_MALE_DWARF
regis	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
rngwlf01	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
saerk	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
sarmil01	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
sarmil02	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
scjerlia	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
scook	20755	FIGHTER_FEMALE_HALFLING_LOW	24851	FIGHTER_FEMALE_HALFLING
scsain	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
sctelwyn	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
scyarryl	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
selenc07	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
selenc09	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
selenc12	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
selenc17	21264	THIEF_FEMALE_HUMAN_LOW	25360	THIEF_FEMALE_HUMAN
shth01	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
shth011	21251	THIEF_MALE_HALFLING_LOW	25347	THIEF_MALE_HALFLING
shth03	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
shth04	21267	THIEF_FEMALE_HALFLING_LOW	25363	THIEF_FEMALE_HALFLING
shth06	21267	THIEF_FEMALE_HALFLING_LOW	25363	THIEF_FEMALE_HALFLING
shthdr01	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
shthlt02	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
slaver1	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
solae1	20739	FIGHTER_MALE_HALFLING_LOW	24835	FIGHTER_MALE_HALFLING
solae2	20752	FIGHTER_FEMALE_HUMAN_LOW	24848	FIGHTER_FEMALE_HUMAN
solae3	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
solae5	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
solae6	20993	MAGE_MALE_ELF_LOW	25089	MAGE_MALE_ELF
stmage	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
sumeat2	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
susuneer	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
tanwiz03	20992	MAGE_MALE_HUMAN_LOW	25088	MAGE_MALE_HUMAN
tarnor	20738	FIGHTER_MALE_DWARF_LOW	24834	FIGHTER_MALE_DWARF
tellare1	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
tellare2	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
tellare3	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
tellare4	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
thiefm	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
tirthold	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
tjguard	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
tknight3	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
townc01	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
tracea	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
trcut07	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
trevil03	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
trftow04	20755	FIGHTER_FEMALE_HALFLING_LOW	24851	FIGHTER_FEMALE_HALFLING
tumage5	21008	MAGE_FEMALE_HUMAN_LOW	25104	MAGE_FEMALE_HUMAN
udpent	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
vakola	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
valran03	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
