File	Name	Slot	Script
gdopp7	Greater Doppelganger	Slot 600	agrandrb
gdopp71	Greater Doppelganger	Slot 600	agrandrb
gdopp72	Greater Doppelganger	Slot 600	agrandrb
gdopp73	Greater Doppelganger	Slot 600	agrandbr
gdopp74	Greater Doppelganger	Slot 600	agrandbr
gdopp75	Greater Doppelganger	Slot 600	agrandbr
geltik	Geltik	Slot 592	agrandbr
gentho	Genthore	Slot 592	agrandrb
gervis	Gervisse	Slot 608	agrandbr
ghast	Ghast	Slot 600	agrandbr
ghastd	Ghast	Slot 608	agrandrb
ghoul	Ghoul	Slot 592	agrandbr
glanma	Glanmarie	Slot 592	agrandbr
glart	Hobgoblin	Slot 600	agrandrb
gnarl	Gnarl	Slot 584	agrandrb
gnoll	Gnoll	Slot 592	agrandea
gnoll_a	Gnoll Elite	Slot 592	agrandrb
gnoll_b	Gnoll	Slot 592	agrandbr
gnoll_c	Gnoll Chieftain	Slot 592	agrandsh
gnoll_d	Gnoll Slasher	Slot 592	agrandrb
gnoll_e	Gnoll Veteran	Slot 592	agrandrp
gnoll5	Ludrug	Slot 592	agrandbr
gnoll5a	Gnoll	Slot 584	agrandrb
gnolld	Gnoll	Slot 592	agrandrp
grael	Grael	Slot 592	agrandbr
gregor	Gregor	Slot 600	agrandbr
gretek	Gretek	Slot 592	agrandbr
greywo	Greywolf	Slot 584	agrandbr
guard	Guard	Slot 592	agrandbr
hairto	Hairtooth	Slot 584	agrandrb
hakt	Hakt	Slot 608	agrandbr
halaca	Halacan	Slot 600	agrandbr
halftr	Furret	Slot 592	agrandrb
hareis	Hareishan	Slot 600	agrandrb
haseo	Haseo	Slot 592	agrandcl
helsha	Helshara	Slot 608	agrandrb
hobgo5	Hobgoblin	Slot 592	agrandbr
hobgob	Hobgoblin	Slot 592	agrandbr
hobgoba	Hobgoblin	Slot 592	agrandbr
hobgobc	Chill Hobgoblin	Slot 600	agrandbr
hobjoia	Hobgoblin	Slot 592	agrandbr
housg4	Guard	Slot 608	agrandbr
housg5	Guard	Slot 608	agrandrb
housg6	Guard	Slot 592	agrandsw
hunter	Ted	Slot 592	agrandbr
husam2	Husam	Slot 600	agrandbr
ichary	Icharyd	Slot 584	agrandbr
ihobgob	Hobgoblin	Slot 592	agrandrb
ikobold	Kobold	Slot 592	agrandrb
ingot	Ingot	Slot 608	agrandbr
irlent	Irlentree	Slot 584	agrandbr
iron10	Guard	Slot 608	agrandrb
iron11	Guard	Slot 608	agrandbr
iron12	Guard	Slot 608	agrandbr
iron13	Guard	Slot 584	agrandrb
iron14	Guard	Slot 584	agrandbr
iron2	Guard	Slot 608	agrandcl
iron3	Guard	Slot 608	agrandrb
iron4	Guard	Slot 608	agrandrb
iron5	Guard	Slot 608	agrandbr
iron6	Guard	Slot 608	agrandbr
iron7	Guard	Slot 608	agrandbr
iron8	Guard	Slot 608	agrandbr
iron9	Guard	Slot 608	agrandrb
irongu	Guard	Slot 600	agrandrb
iskelet	Skeleton	Slot 592	agrandea
islann	Islanne	Slot 592	agrandrb
itasloi	Tasloi	Slot 592	agrandbr
ithmee	Ithmeera	Slot 584	agrandbr
ivanne	Ivanne	Slot 600	agrandrb
ixvart	Xvart	Slot 592	agrandbr
izefia	Izefia	Slot 608	agrandrb
jacil	Jacil	Slot 600	agrandrb
jamie	Jamie	Slot 600	agrandrg
jardak	Jardak	Slot 600	agrandbr
jebado	Jebadoh	Slot 592	agrandrb
jemby	Jemby	Slot 592	agrandrb
jenkal	Jenkal	Slot 592	agrandrb
jhasso	Jhasso	Slot 592	agrandbr
joia	Joia	Slot 592	agrandbr
jonavi	Jonavin	Slot 608	agrandbr
jondal	Jondalar	Slot 584	agrandbr
jondal3	Jondalar	Slot 584	agrandrb
jondalw	Jondal	Slot 584	agrandrb
jopi	Jopi	Slot 600	agrandbr
jorin	Jorin	Slot 584	agrandrb
joular	Joular	Slot 592	agrandbr
kahrk	Kahrk	Slot 592	agrandbr
kaish2	Kaishas Gan	Slot 600	agrandrb
karan3	Karan	Slot 600	agrandcl
karlat	Karlat	Slot 592	agrandbr
karoug	Karoug	Slot 592	agrandrb
kestor	Kestor	Slot 592	agrandsr
kieres	Captain Tollar Kieres	Slot 600	agrandbr
kirian	Kirian	Slot 608	agrandrb
kirinh	Kirinhale	Slot 600	agrandrb
knott	Knott	Slot 600	agrandbr
kobcomm	Kobold Commando	Slot 592	agrandrg
kobold7	Kobold Elite	Slot 584	agrandbr
kolvar	Kolvar	Slot 584	agrandbr
korax	Korax the Ghoul	Slot 584	agrandbr
kovera	Koveras	Slot 592	agrandbr
krumm	Krumm	Slot 600	agrandrb
kryla	Kryla	Slot 608	agrandrb
krysti	Krystin	Slot 600	agrandrb
kysus	Kysus	Slot 600	agrandbr
lahl	Lahl	Slot 584	agrandrb
lakada	Lakadaar	Slot 608	agrandrb
lamalh	Lamalha	Slot 608	agrandcl
laola	Laola Axehand	Slot 600	agrandrb
larria	Larriaz	Slot 600	agrandrb
larry	Larry	Slot 592	agrandsh
laryss	Laryssa	Slot 608	agrandbr
larze	Larze	Slot 592	agrandrb
lasala	Lasala	Slot 600	agrandrb
laskal	Laskal	Slot 608	agrandbr
leaggu1	Merchant League Guard	Slot 592	agrandbr
leaggu2	Merchant League Guard	Slot 592	agrandrb
leaggu3	Merchant League Guard	Slot 592	agrandrb
leaggu4	Merchant League Guard	Slot 592	agrandrb
leaggu5	Merchant League Guard	Slot 592	agrandrb
leaggu6	Merchant League Guard	Slot 592	agrandbr
leaggu7	Merchant League Guard	Slot 592	agrandbr
lendar	Lendarn	Slot 584	agrandrb
lindin	Lindin	Slot 592	agrandrb
lobar	Lobar	Slot 592	agrandrb
lothan	Lothander	Slot 592	agrandrb
loupgar	Selaad Gan	Slot 600	agrandrb
lovem	Love	Slot 600	agrandbr
maka	Maka	Slot 600	agrandbr
malkax	Malkax	Slot 592	agrandbr
maneir	Maneira	Slot 600	agrandbr
marale	Maralee	Slot 608	agrandbr
marcel	Marcellus	Slot 592	agrandbr
marek	Marek	Slot 608	agrandbr
marl	Marl	Slot 584	agrandbr
meakin	Meakin	Slot 600	agrandrb
meilum	Meilum	Slot 600	agrandnc
mendas3	Mendas	Slot 608	agrandbr
merchg	Guard	Slot 600	agrandbr
mersil	Faltis	Slot 600	agrandrb
mersil2	Glayde	Slot 600	agrandrb
mersil3	Tessilan	Slot 600	agrandsh
meym	Meym	Slot 592	agrandrb
michae	Michael	Slot 600	agrandbr
molkar	Molkar	Slot 600	agrandbr
morvin	Morvin	Slot 600	agrandrb
mrshade	Mr. Shade	Slot 600	agrandrb
mulahe	Mulahey	Slot 584	agrandbr
mutami	Mutamin	Slot 608	agrandbr
naaman	Naaman	Slot 600	agrandbr
nader	Nader	Slot 592	agrandrb
nantri	Nantrin Bellowglyn	Slot 592	agrandrb
narcil	Narcillicus Harwilliger Neen	Slot 608	agrandrb
narlen	Narlen Darkwalk	Slot 584	agrandrb
natash	Natasha	Slot 600	agrandbr
neira	Neira	Slot 592	agrandsw
nelik	Nelik	Slot 600	agrandrb
nemphr	Nemphre	Slot 584	agrandrb
nestor	Nestor	Slot 600	agrandrb
nevill	Neville	Slot 600	agrandrg
nexlit	Nexlit the Xvart	Slot 592	agrandrb
niemai	Niemain	Slot 608	agrandrb
niklos	Niklos	Slot 592	agrandcl
nimbul	Nimbul	Slot 600	agrandrb
noober	Noober	Slot 600	agrandbr
oberan	Oberon	Slot 600	agrandrb
ogre	Ogre	Slot 592	agrandbr
ogre02	Ogre	Slot 592	agrandrb
ogreco	Ogre	Slot 592	agrandbr
ogregr	Ogrillon	Slot 592	agrandrb
ogreha	Half Ogre	Slot 592	agrandbr
ogrema	Ogre Mage	Slot 592	agrandrb
ogres	Ogre	Slot 608	agrandrp
ogrmba	Ogre Mage	Slot 584	agrandbr
oopah2	The Amazing Oopah	Slot 592	agrandrb
osmadi	Osmadi	Slot 608	agrandbr
oulam	Oulam	Slot 600	agrandrb
palin	Palin	Slot 608	agrandsr
pangwa	Pang Wallen	Slot 600	agrandbr
parda3	Parda	Slot 584	agrandbr
pargus	Pargus	Slot 592	agrandrb
perdue	Perdue	Slot 592	agrandrp
peter	Peter	Slot 600	agrandrb
pheirk	Pheirkas	Slot 592	agrandrb
phlydi3	Phlydia	Slot 584	agrandbr
phoenix	Phoenix Guard	Slot 592	agrandrb
poghm9	Priest of Oghma	Slot 600	agrandbr
prat	Prat	Slot 600	agrandbr
pridem	Pride	Slot 608	agrandbr
prism	Prism	Slot 592	agrandbr
pumber2	Priestess of Umberlee	Slot 584	agrandbr
pumberl	Priestess of Umberlee	Slot 584	agrandbr
raemon	Raemon	Slot 600	agrandrb
ragefa	Ragefast	Slot 600	agrandbr
rahvin	Rahvin	Slot 608	agrandbr
raiken	Raiken	Slot 600	agrandbr
ramazi	Ramazith	Slot 608	agrandsh
rashad	Rashad	Slot 584	agrandbr
ratchi	Ratchild	Slot 600	agrandrb
rededg	Rededge	Slot 592	agrandbr
reevor3	Reevor	Slot 584	agrandrb
resar	Resar	Slot 592	agrandrb
revent	Revenant	Slot 584	agrandbr
rezdan	Rezdan	Slot 600	agrandbr
rielta	Rieltar	Slot 608	agrandbr
riggilo	Riggilo	Slot 592	agrandrb
sakul	Sakul	Slot 608	agrandrb
sarhed	Sarhedra	Slot 592	agrandrb
sath	Sath	Slot 600	agrandrb
scar	Scar	Slot 600	agrandrb
semaj	Semaj	Slot 592	agrandsw
seniya	Seniyad	Slot 584	agrandrb
sewerf1	Sewerfolk	Slot 592	agrandbr
sewerf2	Sewerfolk	Slot 592	agrandbr
sewerf3	Sewerfolk	Slot 592	agrandrb
sewerf4	Sewerfolk	Slot 592	agrandrb
sewerf5	Sewerfolk	Slot 592	agrandbr
shadow	Thief	Slot 584	agrandrb
shaldr	Shaldrissa	Slot 584	agrandbr
shoal	Shoal the Nereid	Slot 584	agrandsw
shvert	Shvertszche	Slot 600	agrandbr
sil	Sil	Slot 608	agrandsr
silenc	Silence	Slot 592	agrandrb
silke	Silke	Slot 584	agrandrb
sirine	Sirine	Slot 608	agrandbr
skelaci	Skeleton	Slot 592	agrandbr
skeldis	Skeleton	Slot 592	agrandrb
skeletb	Skeleton	Slot 592	agrandbr
skelice	Skeleton	Slot 592	agrandrb
slythe	Slythe	Slot 600	agrandbr
smuggl	Smuggler	Slot 592	agrandrb
sonner	Sonner	Slot 592	agrandrb
sorrel	Sorrel	Slot 608	agrandrb
stepha	Stephan	Slot 584	agrandrb
sunin	Sunin	Slot 608	agrandrb
surgeo	The Surgeon	Slot 584	agrandsh
takiyah	Takiyah	Slot 608	agrandsr
taloun	Taloun	Slot 592	agrandbr
tam	Tam	Slot 608	agrandrb
tamoko	Tamoko	Slot 608	agrandbr
tanar	Aec'Letec	Slot 592	agrandrb
tarnes	Tarnesh	Slot 600	agrandbr
tasloi	Tasloi	Slot 592	agrandrb
taugos	Taugosz Khosann	Slot 608	agrandrb
taxek	Taxek	Slot 600	agrandbr
tazok2	Tazok	Slot 592	agrandbr
telano	Tel-anon	Slot 600	agrandrb
telka	Telka	Slot 600	agrandrb
tellan	Tellan	Slot 608	agrandbr
telmen	Telmen	Slot 592	agrandrb
tenya2	Tenya	Slot 584	agrandbr
tethto3	Tethtoril	Slot 592	agrandrp
teven	Teven	Slot 600	agrandrb
teynga	Teyngan	Slot 600	agrandrb
thalan	Thalantyr	Slot 584	agrandbr
thaldo	Thaldorn	Slot 592	agrandbr
thief	Rogue	Slot 600	agrandbr
thieff	Rogue	Slot 584	agrandlx
thiefg	Rogue	Slot 592	agrandbr
thiefm	Rogue	Slot 584	agrandrb
torlob	Tor Lobo	Slot 600	agrandcl
tracea	Tracea Carol	Slot 608	agrandbr
tralit	Tralithan	Slot 600	agrandbr
tranzi	Tranzig	Slot 600	agrandbr
turpin	Turpin	Slot 600	agrandbr
tuth	Tuth	Slot 592	agrandrb
ughh	Ungh	Slot 592	agrandbr
ulf	Ulf	Slot 600	agrandbr
vai	Officer Vai	Slot 608	agrandrb
vax	Vax	Slot 600	agrandrb
vayya	Vay-ya	Slot 584	agrandbr
venkt	Venkt	Slot 608	agrandrb
vitiare	Vitiare	Slot 584	agrandbr
voltin	Voltine	Slot 584	agrandrb
watchm	Flaming Fist Mercenary	Slot 608	agrandbr
werewo	Werewolf	Slot 608	agrandrb
wheber	Wheber Ott	Slot 600	agrandsr
wilf	Wilf	Slot 592	agrandrb
william1	William Garst	Slot 600	agrandbr
winski	Winski Perorate	Slot 592	agrandbr
wiven	Wiven	Slot 608	agrandbr
wolfwe	Wolfwere	Slot 600	agrandrb
wudei	Wudei	Slot 592	agrandrb
wyverba	Baby Wyvern	Slot 592	agrandrb
wyvern	Wyvern	Slot 592	agrandbr
xvart_b	Xvart	Slot 592	agrandbr
xvart_c	Xvart	Slot 592	agrandrb
xvart2	Xvart	Slot 592	agrandrb
xvarth	Xvart	Slot 592	agrandrb
yago	Yago	Slot 584	agrandbr
zal	Zal	Slot 600	agrandea
zargal	Zargal	Slot 608	agrandbr
zeela	Zeela	Slot 592	agrandbr
zekar	Zekar	Slot 592	agrandbr
zhalim	Zhalimar Cloudwulfe	Slot 600	agrandrb
zhurlo	Zhurlong	Slot 592	agrandbr
zombieb	Zombie	Slot 592	agrandbr
zombiew	Zombie	Slot 592	agrandbr
zordra	Zordral	Slot 584	agrandbr
zorl	Zorl	Slot 584	agrandrb
wolfwegl	Wolfwere	Slot 600	agrandbr
wolfwegr	Greater Wolfwere	Slot 600	agrandbr
wyvernbi	Greater Wyvern	Slot 592	agrandbr
zombie_c	Zombie	Slot 592	agrandsw
zombie_d	Zombie	Slot 592	agrandea
zombie_e	Zombie	Slot 592	agrandsr
3303grd1	Riatavin Elite Warrior	Slot 600	agrandrb
3303grd2	Riatavin Elite Warrior	Slot 608	agrandbr
3303prst	Studying Monk	Slot 592	agrandrb
3307wiz	Avrabar	Slot 600	agrandbr
3308grd1	Mercenary	Slot 600	agrandbr
3308grd2	Mercenary	Slot 608	agrandbr
3308grd3	Mercenary	Slot 600	agrandbr
3cutsh	Drow Warrior	Slot 592	agrandbr
a!raoul	Raoul	Slot 592	agrandbr
a#kram	Kram	Slot 592	agrandbr
a#kram2	Kram	Slot 592	agrandrb
aataqah	Aataqah	Slot 592	agrandbr
abaia	Abaia	Slot 600	agrandbr
abaia2	Abaia	Slot 592	agrandrb
abazdg02	Tamah	Slot 592	agrandrb
abazigal	Abazigal	Slot 592	agrandrb
abishai1	Abishai	Slot 592	agrandbr
abisred1	Abishai	Slot 592	agrandrb
abydem01	Tanar'ri	Slot 600	agrandbr
achen	Statue	Slot 600	agrandrb
acoldead	Acolyte	Slot 592	agrandbr
acolpois	Acolyte	Slot 592	agrandrb
acolyte	Acolyte	Slot 592	agrandbr
acolyte1	Talon Zogas	Slot 592	agrandrb
acolyte2	Dawnbringer Alvanna	Slot 608	agrandbr
acolyte3	Watchknight Aabir	Slot 592	agrandbr
acolyted	Acolyte	Slot 592	agrandcl
adadop1b	Doppelganger	Slot 592	agrandea
aeextort	Hanj	Slot 592	agrandbr
aegnoll	Gnoll	Slot 592	agrandbr
aemerhob	Hobgoblin Archer	Slot 600	agrandrb
aemess	Messenger	Slot 608	agrandbr
aesold	Soldier	Slot 600	agrandbr
aewere1	Fighter	Slot 600	agrandrb
aewere2	Fighter	Slot 600	agrandnc
aewere3	Fighter	Slot 600	agrandbr
aewere4	Fighter	Slot 600	agrandbr
aewere5	Fighter	Slot 600	agrandbr
aewere6	Fighter	Slot 600	agrandrb
agadem01	Ademoth	Slot 592	agrandrb
agaluf02	Alu-Fiend	Slot 584	agrandrb
agbadguy	Corpae	Slot 592	agrandrb
agband01	Bandit	Slot 592	agrandbr
agband02	Bandit	Slot 592	agrandrg
